marca,clase,combustible,cantidad
MACK,Camión,Gasolina,2
YAMAHA,Motocicleta,Diesel,2
FREIGHTLINER,Autobus,Diesel,2
FIAT,Automóvil,Gas liquado de petróleo,2
YAMAHA,Motocicleta,Gas liquado de petróleo,2
SAEHAN,Furgoneta P,Gasolina,2
QMC,Camioneta,Gasolina,2
HONDA,Motocicleta,Diesel,2
MERCEDES BENZ,Trailer,Gasolina,2
DAIHATSU,Volqueta,Gasolina,2
MITSUBISHI,Trailer,Gasolina,2
RENAULT,Automóvil,Diesel,2
MERCEDES BENZ,Camioneta,Gasolina,2
DAIHATSU,Automóvil,Diesel,2
LADA,Automóvil,Gas liquado de petróleo,2
GMC,Automóvil,Gasolina,2
BMW,Camioneta,Gasolina,2
SCANIA,Otra Clase,Gasolina,2
MAZDA,Furgoneta P,Diesel,2
VOLVO,Furgoneta C,Gasolina,2
ASIA,Jeep,Diesel,2
QMC,Automóvil,Diesel,2
WILLYS,Automóvil,Gasolina,2
ISUZU,Tanquero,Gasolina,2
GMC,Jeep,Diesel,2
MAN,Trailer,Gasolina,2
FAW,Trailer,Diesel,2
JINBEI HAISE,Otra Clase,Gasolina,2
DATSUN,Camioneta,Diesel,2
KIA,Trailer,Gasolina,2
CHRYSLER,Camioneta,Gasolina,2
DUCAR,Motocicleta,Gas liquado de petróleo,2
SAIC WULING,Automóvil,Gasolina,2
SCANIA,Volqueta,Gasolina,2
JIANSHE,Motocicleta,Eléctrico,1
SAIC WULING,Autobus,Gasolina,1
FIAT,Furgoneta P,Gas liquado de petróleo,1
SSANGYONG,Otra Clase,Diesel,1
KIA,Autobus,Gasolina,1
DATSUN,Camión,Diesel,1
ASIA,Tanquero,Diesel,1
JEEP,Otra Clase,Diesel,1
RANGER,Motocicleta,Gas liquado de petróleo,1
FOTON,Otra Clase,Diesel,1
MAZDA,Jeep,Diesel,1
CHANGHE,Autobus,Gasolina,1
WILLYS,Furgoneta P,Diesel,1
KENWORTH,Camión,Gasolina,1
Otras Marcas,Autobus,Gas liquado de petróleo,1
ISUZU,Volqueta,Gasolina,1
FAW,Camioneta,Diesel,1
GREAT WALL,Furgoneta C,Diesel,1
HONDA,Furgoneta P,Gas liquado de petróleo,1
HINO,Camioneta,Gasolina,1
VOLKSWAGEN,Trailer,Gasolina,1
FREIGHTLINER,Tanquero,Gasolina,1
JIANSHE,Motocicleta,Gas liquado de petróleo,1
ISUZU,Furgoneta P,Diesel,1
ORO MOTO,Motocicleta,Diesel,1
INTERNATIONAL,Furgoneta C,Diesel,1
DUCAR,Motocicleta,Diesel,1
CHANGAN,Furgoneta C,Diesel,1
JINBEI HAISE,Camioneta,Diesel,1
TATA,Autobus,Diesel,1
TOYOTA,Furgoneta C,Gas liquado de petróleo,1
Otras Marcas,Furgoneta C,Gas liquado de petróleo,1
KIA,Furgoneta P,Gas liquado de petróleo,1
WILLYS,Camión,Gasolina,1
CITROEN,Jeep,Gasolina,1
DAEWOO,Trailer,Diesel,1
KTM,Motocicleta,Eléctrico,1
AUSTIN,Volqueta,Diesel,1
ISUZU,Jeep,Diesel,1
HYUNDAI,Motocicleta,Diesel,1
SUZUKI,Jeep,Gas liquado de petróleo,1
SAEHAN,Camión,Diesel,1
SAEHAN,Volqueta,Gasolina,1
QINGQI,Motocicleta,Gas liquado de petróleo,1
MAHINDRA,Jeep,Gasolina,1
TOYOTA,Automóvil,Eléctrico,1
ZX AUTO,Furgoneta C,Diesel,1
MAZDA,Motocicleta,Gasolina,1
MACK,Autobus,Diesel,1
SCANIA,Autobus,Eléctrico,1
CHRYSLER,Automóvil,Diesel,1
SUZUKI,Furgoneta C,Diesel,1
WILLYS,Otra Clase,Gasolina,1
FIAT,Camioneta,Gas liquado de petróleo,1
CHANGHE,Camión,Diesel,1
QMC,Tanquero,Gasolina,1
PEGASO,Volqueta,Gasolina,1
LONGJIA,Motocicleta,Gas liquado de petróleo,1
JEEP,Jeep,Gas liquado de petróleo,1
INTERNATIONAL,Furgoneta P,Diesel,1
ASIA,Autobus,Gasolina,1
NISSAN,Camioneta,Gas liquado de petróleo,1
DAEWOO,Furgoneta C,Diesel,1
GALARDI,Motocicleta,Gas liquado de petróleo,1
ZX AUTO,Furgoneta C,Gasolina,1
CHEVROLET,Camioneta,Eléctrico,1
BMW,Furgoneta P,Diesel,1
HYUNDAI,Automóvil,Eléctrico,1
DONGFENG,Volqueta,Gasolina,1
DAIHATSU,Autobus,Gasolina,1
VOLKSWAGEN,Camioneta,Gas liquado de petróleo,1
HYUNDAI,Furgoneta C,Gas liquado de petróleo,1
MAN,Camión,Gasolina,1
FIAT,Camión,Gasolina,1
TOYOTA,Furgoneta P,Gas liquado de petróleo,1
LAND ROVER,Otra Clase,Gasolina,1
SAIC WULING,Jeep,Gasolina,1
ASIA,Volqueta,Diesel,1
KIA,Jeep,Gas liquado de petróleo,1
LONCIN,Motocicleta,Gas liquado de petróleo,1
KENWORTH,Volqueta,Gasolina,1
KENWORTH,Tanquero,Gasolina,1
LADA,Motocicleta,Gasolina,1
DAEWOO,Furgoneta C,Gas liquado de petróleo,1
YAMAHA,Otra Clase,Gasolina,1
MAZDA,Tanquero,Gasolina,1
TEKNO,Motocicleta,Gas liquado de petróleo,1
HINO,Automóvil,Gasolina,1
BMW,Automóvil,Gas liquado de petróleo,1
RENAULT,Jeep,Gasolina,1
DONGFENG,Tanquero,Gasolina,1
FIAT,Volqueta,Gasolina,1
DODGE,Autobus,Gasolina,1
HYUNDAI,Camión,Eléctrico,1
JINBEI HAISE,Autobus,Diesel,1
GREAT WALL,Furgoneta C,Gasolina,1
CHEVROLET,Jeep,Eléctrico,1
HYUNDAI,Tanquero,Gasolina,1
DAYTONA,Motocicleta,Diesel,1
PEGASO,Motocicleta,Diesel,1
FAW,Automóvil,Gasolina,1
DAEWOO,Automóvil,Diesel,1
DODGE,Jeep,Diesel,1
HYUNDAI,Trailer,Gasolina,1
MAZDA,Furgoneta P,Gas liquado de petróleo,1
DACIA,Furgoneta C,Gasolina,1
SAEHAN,Camioneta,Diesel,1
DAEWOO,Jeep,Diesel,1
FOTON,Tanquero,Diesel,1
FOTON,Autobus,Diesel,1
MITSUBISHI,Automóvil,Gas liquado de petróleo,1
INTERNATIONAL,Autobus,Gasolina,1
VOLVO,Camión,Gasolina,1
CHRYSLER,Otra Clase,Diesel,1
CITROEN,Otra Clase,Diesel,1
KIA,Furgoneta C,Gas liquado de petróleo,1
FIAT,Camioneta,Diesel,1
DAEWOO,Furgoneta P,Diesel,1
NISSAN,Jeep,Gas liquado de petróleo,1
TATA,Otra Clase,Diesel,1
ORO MOTO,Motocicleta,Gas liquado de petróleo,1
RENAULT,Camión,Gasolina,1
OKAZAKI,Automóvil,Gasolina,1
DODGE,Autobus,Diesel,1
HONDA,Furgoneta P,Diesel,1
DODGE,Furgoneta P,Diesel,1
SSANGYONG,Furgoneta C,Gasolina,1
PEGASO,Camión,Gasolina,1
RANGER,Furgoneta P,Gasolina,1
MAN,Volqueta,Gasolina,1
DAEWOO,Autobus,Diesel,1
MITSUBISHI,Furgoneta P,Gas liquado de petróleo,1
SCANIA,Tanquero,Gasolina,1
JIALING,Motocicleta,Diesel,1
TVS,Motocicleta,Gasolina,1
DATSUN,Trailer,Gasolina,1
